task_id,model_id,heldout_fold,batch_code,category_code,category,record_count,accuracy,evaluation_unit
narrow_x_category,dummy_prior,4,110,all,all,14,0.0,batch
narrow_x_category,dummy_prior,4,120,all,all,23,0.0,batch
narrow_x_category,dummy_prior,4,126,all,all,19,0.0,batch
narrow_x_category,dummy_prior,4,132,all,all,23,0.0,batch
narrow_x_category,dummy_prior,4,133,all,all,27,0.0,batch
narrow_x_category,dummy_prior,4,137,all,all,31,0.0,batch
narrow_x_category,dummy_prior,4,145,all,all,15,0.0,batch
narrow_x_category,dummy_prior,4,147,all,all,15,0.0,batch
narrow_x_category,dummy_prior,4,148,all,all,267,0.0,batch
narrow_x_category,dummy_prior,4,149,all,all,33,0.0,batch
narrow_x_category,dummy_prior,4,153,all,all,8,0.0,batch
narrow_x_category,dummy_prior,4,157,all,all,19,0.0,batch
narrow_x_category,dummy_prior,4,165,all,all,8,0.0,batch
narrow_x_category,dummy_prior,4,182,all,all,23,0.0,batch
narrow_x_category,dummy_prior,4,183,all,all,14,0.0,batch
narrow_x_category,dummy_prior,4,185,all,all,25,0.0,batch
narrow_x_category,dummy_prior,4,194,all,all,8,0.0,batch
narrow_x_category,dummy_prior,4,207,all,all,8,0.0,batch
narrow_x_category,dummy_prior,4,213,all,all,28,0.0,batch
narrow_x_category,dummy_prior,4,225,all,all,23,0.0,batch
narrow_x_category,dummy_prior,4,227,all,all,19,0.0,batch
narrow_x_category,dummy_prior,4,228,all,all,28,0.0,batch
narrow_x_category,dummy_prior,4,233,all,all,8,0.0,batch
narrow_x_category,dummy_prior,4,235,all,all,8,0.0,batch
narrow_x_category,dummy_prior,4,239,all,all,8,0.0,batch
narrow_x_category,dummy_prior,4,248,all,all,4,0.0,batch
narrow_x_category,dummy_prior,4,252,all,all,8,0.0,batch
narrow_x_category,dummy_prior,4,255,all,all,8,0.0,batch
narrow_x_category,dummy_prior,4,258,all,all,15,0.0,batch
narrow_x_category,dummy_prior,4,260,all,all,11,0.0,batch
narrow_x_category,dummy_prior,4,287,all,all,8,0.0,batch
narrow_x_category,dummy_prior,4,288,all,all,8,0.0,batch
narrow_x_category,dummy_prior,4,291,all,all,8,0.0,batch
narrow_x_category,dummy_prior,4,292,all,all,26,0.8461538461538461,batch
narrow_x_category,dummy_prior,4,293,all,all,8,0.0,batch
narrow_x_category,dummy_prior,4,294,all,all,8,0.0,batch
narrow_x_category,dummy_prior,4,297,all,all,8,0.0,batch
narrow_x_category,dummy_prior,4,300,all,all,4,0.0,batch
